btcdate,btcbegin,btchigh,btclow,btcend,cboedate,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2018/1/24 19:00,11052.9961,11152,10930.0215,10983.8779,2018/1/24 19:00,11040 ,11040 ,11040 ,11040 ,5 
2018/1/24 18:00,10847.5,11052.9961,10771.3945,11052.9961,2018/1/24 18:00,10930 ,11170 ,10860 ,11070 ,46 
2018/1/24 17:00,10953.4902,11015.5068,10840.0078,10847.5,2018/1/24 17:00,10880 ,10900 ,10800 ,10800 ,7 
2018/1/24 16:00,10960.1836,11120.5146,10868.5205,10953.4902,2018/1/24 16:00,11020 ,11030 ,10970 ,11030 ,15 
2018/1/24 15:00,10635.2734,11044.5,10630.1484,10960.1836,2018/1/24 15:00,10930 ,11180 ,10930 ,11007 ,35 
2018/1/24 14:00,10676.6758,10772.0527,10593.1699,10635.2734,2018/1/24 14:00,,,,,
2018/1/24 13:00,10829.1641,10844.7188,10482.3164,10677.5508,2018/1/24 13:00,10650 ,10720 ,10650 ,10720 ,2 
2018/1/24 12:00,10766.3984,10885.0781,10673.2793,10829.1641,2018/1/24 12:00,10950 ,10950 ,10530 ,10530 ,20 
2018/1/24 11:00,10642.75,10789.584,10594.6484,10766.3984,2018/1/24 11:00,10740 ,10740 ,10740 ,10740 ,3 
2018/1/24 10:00,10597,10815,10577.71,10642.75,2018/1/24 10:00,10650 ,10650 ,10650 ,10650 ,1 
2018/1/24 9:00,10837.1797,10903.957,10569.2012,10597,2018/1/24 9:00,10910 ,10910 ,10650 ,10650 ,7 
2018/1/24 8:00,11054.3086,11081.0527,10766.6318,10837.1289,2018/1/24 8:00,10880 ,10970 ,10880 ,10970 ,5 
2018/1/24 7:00,10987.9082,11192.8984,10987.6582,11054.3086,2018/1/24 7:00,11130 ,11130 ,10920 ,10920 ,16 
2018/1/24 6:00,11138.3496,11138.3496,10949.2695,10981.0449,2018/1/24 6:00,11010 ,11200 ,11010 ,11200 ,13 
2018/1/24 5:00,11017.5,11181.0352,10888.5,11138.3496,2018/1/24 5:00,11150 ,11200 ,11030 ,11030 ,19 
2018/1/24 4:00,11220.4199,11241.7285,10929.0352,11017.5,2018/1/24 4:00,11090 ,11130 ,10960 ,11086 ,29 
2018/1/24 3:00,11164.0293,11366.3379,11155,11220.4199,2018/1/24 3:00,11240 ,11300 ,11180 ,11240 ,53 
2018/1/24 2:00,11337.8145,11364.5,11095.2822,11164.0293,2018/1/24 2:00,11200 ,11380 ,11200 ,11240 ,80 
2018/1/24 1:00,10765.3008,11376,10745.75,11337.8145,2018/1/24 1:00,11350 ,11410 ,11170 ,11240 ,35 
2018/1/24 0:00,10433.5,10788.5,10391.5508,10768.5762,2018/1/24 0:00,10620 ,11430 ,10593 ,11262 ,46 
2018/1/23 23:00,10297.1367,10490,10229.1025,10433.5,2018/1/23 23:00,10250 ,10720 ,10250 ,10650 ,36 
2018/1/23 22:00,10230.5684,10429.3906,10157.1484,10302.4063,2018/1/23 22:00,10360 ,10440 ,10340 ,10340 ,4 
2018/1/23 21:00,10194.457,10416.8496,10060.209,10230.5684,2018/1/23 21:00,10370 ,10370 ,10240 ,10340 ,7 
2018/1/23 20:00,10357.2891,10442.3945,9948,10194.457,2018/1/23 20:00,10100 ,10460 ,9960 ,10450 ,31 
